Entity,Code,Year,UHC Service Coverage Index (SDG 3.8.1)
Bolivia,BOL,2010,47.45756
Bolivia,BOL,2015,60.25314
Bolivia,BOL,2017,64.00739
Bolivia,BOL,2019,65.09212
Bolivia,BOL,2021,65.06229
Bosnia and Herzegovina,BIH,2000,44.36213
Bosnia and Herzegovina,BIH,2005,61.05249
Bosnia and Herzegovina,BIH,2010,62.398
Bosnia and Herzegovina,BIH,2015,68.02817
Bosnia and Herzegovina,BIH,2017,70.38882
Bosnia and Herzegovina,BIH,2019,67.23395
Bosnia and Herzegovina,BIH,2021,66.47112
Botswana,BWA,2000,35.46302
Botswana,BWA,2005,47.94382
Botswana,BWA,2010,53.79683
Botswana,BWA,2015,57.5769
Botswana,BWA,2017,57.97421
Botswana,BWA,2019,55.31324
Botswana,BWA,2021,55.17985
Brazil,BRA,2000,68.04693
Brazil,BRA,2005,73.40996
Brazil,BRA,2010,76.01514
Brazil,BRA,2015,80
Brazil,BRA,2017,80
Brazil,BRA,2019,80
Brazil,BRA,2021,80
Brunei,BRN,2000,49.39087
Brunei,BRN,2005,63.84196
Brunei,BRN,2010,69.67525
Brunei,BRN,2015,75.1149
Brunei,BRN,2017,77.67146
Brunei,BRN,2019,77.14001
Brunei,BRN,2021,78.34303
Bulgaria,BGR,2000,56.23362
Bulgaria,BGR,2005,60.81434
Bulgaria,BGR,2010,65.17148
Bulgaria,BGR,2015,70.32406
Bulgaria,BGR,2017,72.439
Bulgaria,BGR,2019,75.77181
Bulgaria,BGR,2021,73.4856
Burkina Faso,BFA,2000,15.4195
Burkina Faso,BFA,2005,21.31436
Burkina Faso,BFA,2010,29.88395
Burkina Faso,BFA,2015,35.48542
Burkina Faso,BFA,2017,37.68524
Burkina Faso,BFA,2019,38.0715
Burkina Faso,BFA,2021,39.60456
Burundi,BDI,2000,19.364
Burundi,BDI,2005,23.64375
Burundi,BDI,2010,33.46381
Burundi,BDI,2015,40.24527
Burundi,BDI,2017,39.70335
Burundi,BDI,2019,41.68614
Burundi,BDI,2021,41.46003
Cambodia,KHM,2000,23.90044
Cambodia,KHM,2005,37.24602
Cambodia,KHM,2010,50.46432
Cambodia,KHM,2015,55.90014
Cambodia,KHM,2017,59.67848
Cambodia,KHM,2019,58.29306
Cambodia,KHM,2021,57.98489
Cameroon,CMR,2000,22.3873
Cameroon,CMR,2005,28.42808
Cameroon,CMR,2010,32.96333
Cameroon,CMR,2015,41.93261
Cameroon,CMR,2017,43.17722
Cameroon,CMR,2019,42.63574
Cameroon,CMR,2021,43.87635
Canada,CAN,2000,73.74116
Canada,CAN,2005,79.43651
Canada,CAN,2010,80
Canada,CAN,2015,80
Canada,CAN,2017,80
Canada,CAN,2019,80
Canada,CAN,2021,80
Cape Verde,CPV,2000,43.10192
Cape Verde,CPV,2005,53.51265
Cape Verde,CPV,2010,62.6954
Cape Verde,CPV,2015,67.98614
Cape Verde,CPV,2017,69.55247
Cape Verde,CPV,2019,68.83315
Cape Verde,CPV,2021,71.17687
Central African Republic,CAF,2000,17.73278
Central African Republic,CAF,2005,18.914
Central African Republic,CAF,2010,26.01012
Central African Republic,CAF,2015,29.50684
Central African Republic,CAF,2017,30.2378
Central African Republic,CAF,2019,30.57638
Central African Republic,CAF,2021,32.26192
Chad,TCD,2000,14.5817
Chad,TCD,2005,15.59872
Chad,TCD,2010,22.26037
Chad,TCD,2015,26.83309
Chad,TCD,2017,28.16784
Chad,TCD,2019,26.63073
Chad,TCD,2021,29.40162
Chile,CHL,2000,65.02777
Chile,CHL,2005,73.63523
Chile,CHL,2010,76.76622
Chile,CHL,2015,79.48533
Chile,CHL,2017,80
Chile,CHL,2019,80
Chile,CHL,2021,80
China,CHN,2000,46.70368
China,CHN,2005,56.73541
China,CHN,2010,66.18852
China,CHN,2015,75.70291
China,CHN,2017,78.85642
China,CHN,2019,80
China,CHN,2021,80
Colombia,COL,2000,51.5003
Colombia,COL,2005,62.69008
Colombia,COL,2010,68.33423
Colombia,COL,2015,77.82593
Colombia,COL,2017,80
Colombia,COL,2019,80
Colombia,COL,2021,80
Comoros,COM,2000,25.8583
Comoros,COM,2005,32.12627
Comoros,COM,2010,38.92088
Comoros,COM,2015,43.77384
Comoros,COM,2017,45.60096
Comoros,COM,2019,45.63213
Comoros,COM,2021,48.11962
Congo,COG,2000,20.97332
Congo,COG,2005,24.63898
Congo,COG,2010,29.74213
Congo,COG,2015,37.89627
Congo,COG,2017,36.0234
Congo,COG,2019,39.38063
Congo,COG,2021,41.00078
Cook Islands,COK,2000,47.38666
Cook Islands,COK,2005,50.16754
Cook Islands,COK,2010,60.70597
Cook Islands,COK,2015,63.452
Cook Islands,COK,2017,62.52026
Cook Islands,COK,2019,63.43803
Cook Islands,COK,2021,45.98177
Costa Rica,CRI,2000,65.50869
Costa Rica,CRI,2005,70.32895
Costa Rica,CRI,2010,74.93482
Costa Rica,CRI,2015,77.44404
Costa Rica,CRI,2017,80
Costa Rica,CRI,2019,80
Costa Rica,CRI,2021,80
Cote d'Ivoire,CIV,2000,21.66734
Cote d'Ivoire,CIV,2005,24.78389
Cote d'Ivoire,CIV,2010,33.35059
Cote d'Ivoire,CIV,2015,42.94068
Cote d'Ivoire,CIV,2017,44.4266
Cote d'Ivoire,CIV,2019,40.88472
Cote d'Ivoire,CIV,2021,42.77569
Croatia,HRV,2000,70.72003
Croatia,HRV,2005,73.81461
Croatia,HRV,2010,76.82191
Croatia,HRV,2015,77.54351
Croatia,HRV,2017,78.57928
Croatia,HRV,2019,80
Croatia,HRV,2021,80
Cuba,CUB,2000,56.22157
Cuba,CUB,2005,70.8773
Cuba,CUB,2010,78.30153
Cuba,CUB,2015,80
Cuba,CUB,2017,80
Cuba,CUB,2019,80
Cuba,CUB,2021,80
Cyprus,CYP,2000,50.63619
Cyprus,CYP,2005,66.68087
Cyprus,CYP,2010,70.17817
Cyprus,CYP,2015,78.24181
Cyprus,CYP,2017,80
Cyprus,CYP,2019,80
Cyprus,CYP,2021,80
Czechia,CZE,2000,76.89719
Czechia,CZE,2005,77.30387
Czechia,CZE,2010,80
Czechia,CZE,2015,80
Czechia,CZE,2017,80
Czechia,CZE,2019,80
Czechia,CZE,2021,80
Democratic Republic of Congo,COD,2000,20.62725
Democratic Republic of Congo,COD,2005,22.68262
Democratic Republic of Congo,COD,2010,29.64598
Democratic Republic of Congo,COD,2015,36.895
Democratic Republic of Congo,COD,2017,39.59255
Democratic Republic of Congo,COD,2019,39.78853
Democratic Republic of Congo,COD,2021,41.73901
Denmark,DNK,2000,71.78837
Denmark,DNK,2005,74.38334
Denmark,DNK,2010,76.93965
Denmark,DNK,2015,80
Denmark,DNK,2017,80
Denmark,DNK,2019,80
Denmark,DNK,2021,80
Djibouti,DJI,2000,23.38025
Djibouti,DJI,2005,28.2272
Djibouti,DJI,2010,36.68119
Djibouti,DJI,2015,41.24912
Djibouti,DJI,2017,45.08687
Djibouti,DJI,2019,45.32812
Djibouti,DJI,2021,43.91182
Dominica,DMA,2000,48.80398
Dominica,DMA,2005,59.99614
Dominica,DMA,2010,65.53093
Dominica,DMA,2015,70.06059
Dominica,DMA,2017,70.11464
Dominica,DMA,2019,71.93415
Dominica,DMA,2021,49.14794
Dominican Republic,DOM,2000,50.87753
Dominican Republic,DOM,2005,57.40839
Dominican Republic,DOM,2010,70.03009
Dominican Republic,DOM,2015,75.2307
Dominican Republic,DOM,2017,74.6357
Dominican Republic,DOM,2019,75.0493
Dominican Republic,DOM,2021,76.98295
East Timor,TLS,2000,28.12505
East Timor,TLS,2005,30.76128
East Timor,TLS,2010,41.47976
East Timor,TLS,2015,47.33599
East Timor,TLS,2017,49.61962
East Timor,TLS,2019,50.22096
East Timor,TLS,2021,52.30378
Eastern Mediterranean (WHO),WHO_EMR,2000,37.48567
Eastern Mediterranean (WHO),WHO_EMR,2005,41.54613
Eastern Mediterranean (WHO),WHO_EMR,2010,46.98394
Eastern Mediterranean (WHO),WHO_EMR,2015,52.72652
Eastern Mediterranean (WHO),WHO_EMR,2017,55.74839
Eastern Mediterranean (WHO),WHO_EMR,2019,56.93246
Eastern Mediterranean (WHO),WHO_EMR,2021,57.08711
Ecuador,ECU,2000,51.2664
Ecuador,ECU,2005,57.80808
Ecuador,ECU,2010,68.16116
Ecuador,ECU,2015,76.62326
Ecuador,ECU,2017,77.78508
Ecuador,ECU,2019,79.49633
Ecuador,ECU,2021,76.6337
Egypt,EGY,2000,50.39901
Egypt,EGY,2005,52.27327
Egypt,EGY,2010,62.35203
Egypt,EGY,2015,65.20842
Egypt,EGY,2017,68.95744
Egypt,EGY,2019,70.14868
Egypt,EGY,2021,70.2333
El Salvador,SLV,2000,51.54281
El Salvador,SLV,2005,64.98482
El Salvador,SLV,2010,73.32805
El Salvador,SLV,2015,76.82203
El Salvador,SLV,2017,77.96375
El Salvador,SLV,2019,77.81264
El Salvador,SLV,2021,78.04086
Equatorial Guinea,GNQ,2000,19.70556
Equatorial Guinea,GNQ,2005,22.57277
Equatorial Guinea,GNQ,2010,28.79866
Equatorial Guinea,GNQ,2015,40.56823
Equatorial Guinea,GNQ,2017,43.93791
Equatorial Guinea,GNQ,2019,43.74691
Equatorial Guinea,GNQ,2021,45.74751
Eritrea,ERI,2000,25.83123
Eritrea,ERI,2005,31.82051
Eritrea,ERI,2010,40.1129
Eritrea,ERI,2015,44.71825
Eritrea,ERI,2017,45.92554
Eritrea,ERI,2019,46.09582
Eritrea,ERI,2021,44.88894
Estonia,EST,2000,59.60306
Estonia,EST,2005,61.63895
Estonia,EST,2010,72.09915
Estonia,EST,2015,76.83005
Estonia,EST,2017,77.81068
Estonia,EST,2019,78.77091
Estonia,EST,2021,79.31091
Eswatini,SWZ,2000,35.70971
Eswatini,SWZ,2005,44.00773
Eswatini,SWZ,2010,51.10865
Eswatini,SWZ,2015,55.48753
Eswatini,SWZ,2017,59.78487
Eswatini,SWZ,2019,58.40017
Eswatini,SWZ,2021,55.86385
Ethiopia,ETH,2000,13.30969
Ethiopia,ETH,2005,16.66036
Ethiopia,ETH,2010,26.55138
Ethiopia,ETH,2015,34.22756
Ethiopia,ETH,2017,34.90632
Ethiopia,ETH,2019,35.52914
Ethiopia,ETH,2021,35.14274
Europe (WHO),WHO_EUR,2000,64.45797
Europe (WHO),WHO_EUR,2005,67.7624
Europe (WHO),WHO_EUR,2010,74.5882
Europe (WHO),WHO_EUR,2015,79.14765
Europe (WHO),WHO_EUR,2017,80.53014
Europe (WHO),WHO_EUR,2019,81.31552
Europe (WHO),WHO_EUR,2021,81.06379
Fiji,FJI,2000,41.9571
Fiji,FJI,2005,50.17557
Fiji,FJI,2010,52.49566
Fiji,FJI,2015,59.67894
Fiji,FJI,2017,58.91916
Fiji,FJI,2019,59.43298
Fiji,FJI,2021,58.24706
Finland,FIN,2000,74.75711
Finland,FIN,2005,80
Finland,FIN,2010,80
Finland,FIN,2015,80
Finland,FIN,2017,80
Finland,FIN,2019,80
Finland,FIN,2021,80
France,FRA,2000,79.14757
France,FRA,2005,80
France,FRA,2010,80
France,FRA,2015,80
France,FRA,2017,80
France,FRA,2019,80
France,FRA,2021,80
Gabon,GAB,2000,28.17883
Gabon,GAB,2005,36.9588
Gabon,GAB,2010,45.2353
Gabon,GAB,2015,49.96951
Gabon,GAB,2017,50.71123
Gabon,GAB,2019,48.64603
Gabon,GAB,2021,48.97425
Gambia,GMB,2000,28.94088
Gambia,GMB,2005,36.07573
Gambia,GMB,2010,40.6432
Gambia,GMB,2015,43.38438
Gambia,GMB,2017,43.7427
Gambia,GMB,2019,45.71187
Gambia,GMB,2021,46.1508
Georgia,GEO,2000,47.09488
Georgia,GEO,2005,61.36617
Georgia,GEO,2010,68.51891
Georgia,GEO,2015,70.7278
Georgia,GEO,2017,70.09057
Georgia,GEO,2019,69.42982
Georgia,GEO,2021,68.22667
Germany,DEU,2000,78.7087
Germany,DEU,2005,80
Germany,DEU,2010,80
Germany,DEU,2015,80
Germany,DEU,2017,80
Germany,DEU,2019,80
Germany,DEU,2021,80
Ghana,GHA,2000,23.65041
Ghana,GHA,2005,25.60964
Ghana,GHA,2010,35.24769
Ghana,GHA,2015,43.90984
Ghana,GHA,2017,45.46957
Ghana,GHA,2019,46.49993
Ghana,GHA,2021,47.78764
Greece,GRC,2000,68.94923
Greece,GRC,2005,72.82025
Greece,GRC,2010,75.39027
Greece,GRC,2015,77.90915
Greece,GRC,2017,78.92592
Greece,GRC,2019,79.45765
Greece,GRC,2021,77.18728
Grenada,GRD,2000,49.84954
Grenada,GRD,2005,61.57412
Grenada,GRD,2010,67.91986
Grenada,GRD,2015,71.28389
Grenada,GRD,2017,72.89505
Grenada,GRD,2019,73.83379
Grenada,GRD,2021,70.44362
Guatemala,GTM,2000,40.4051
Guatemala,GTM,2005,50.05145
Guatemala,GTM,2010,57.51889
Guatemala,GTM,2015,59.86306
Guatemala,GTM,2017,57.9804
Guatemala,GTM,2019,60.61773
Guatemala,GTM,2021,58.68237
Guinea,GIN,2000,16.07397
Guinea,GIN,2005,18.86237
Guinea,GIN,2010,25.80411
Guinea,GIN,2015,32.70554
Guinea,GIN,2017,36.09503
Guinea,GIN,2019,39.42244
Guinea,GIN,2021,39.92434
Guinea-Bissau,GNB,2000,19.06267
Guinea-Bissau,GNB,2005,22.73221
Guinea-Bissau,GNB,2010,28.78932
Guinea-Bissau,GNB,2015,36.72791
Guinea-Bissau,GNB,2017,37.81649
Guinea-Bissau,GNB,2019,36.25281
Guinea-Bissau,GNB,2021,37.24882
Guyana,GUY,2000,44.87869
Guyana,GUY,2005,58.66557
Guyana,GUY,2010,64.95517
Guyana,GUY,2015,75.08281
Guyana,GUY,2017,76.63873
Guyana,GUY,2019,77.40801
Guyana,GUY,2021,75.93155
Haiti,HTI,2000,27.3593
Haiti,HTI,2005,33.1177
Haiti,HTI,2010,41.99582
Haiti,HTI,2015,50.7705
Haiti,HTI,2017,53.3222
Haiti,HTI,2019,52.79086
Haiti,HTI,2021,54.13732
Honduras,HND,2000,42.03738
Honduras,HND,2005,52.427
Honduras,HND,2010,58.20331
Honduras,HND,2015,65.30439
Honduras,HND,2017,65.1033
Honduras,HND,2019,65.50581
Honduras,HND,2021,64.30881
Hungary,HUN,2000,70.13693
Hungary,HUN,2005,71.93488
Hungary,HUN,2010,73.16734
Hungary,HUN,2015,78.17759
Hungary,HUN,2017,78.82822
Hungary,HUN,2019,78.55894
Hungary,HUN,2021,79.45746
Iceland,ISL,2000,77.75259
Iceland,ISL,2005,80
Iceland,ISL,2010,80
Iceland,ISL,2015,80
Iceland,ISL,2017,80
Iceland,ISL,2019,80
Iceland,ISL,2021,80
India,IND,2000,29.66446
India,IND,2005,33.83773
India,IND,2010,48.56442
India,IND,2015,57.34273
India,IND,2017,60.39243
India,IND,2019,63.54493
India,IND,2021,63.33427
Indonesia,IDN,2000,29.037
Indonesia,IDN,2005,33.55102
Indonesia,IDN,2010,41.67841
Indonesia,IDN,2015,50.18527
Indonesia,IDN,2017,54.21259
Indonesia,IDN,2019,55.88193
Indonesia,IDN,2021,54.77663
Iran,IRN,2000,49.79386
Iran,IRN,2005,50.41957
Iran,IRN,2010,54.26576
Iran,IRN,2015,67.64463
Iran,IRN,2017,71.94331
Iran,IRN,2019,75.20693
Iran,IRN,2021,74.30833
Iraq,IRQ,2000,52.49385
Iraq,IRQ,2005,52.58086
Iraq,IRQ,2010,52.87528
Iraq,IRQ,2015,55.80007
Iraq,IRQ,2017,57.43553
Iraq,IRQ,2019,57.71881
Iraq,IRQ,2021,58.50789
Ireland,IRL,2000,72.17076
Ireland,IRL,2005,75.56446
Ireland,IRL,2010,77.2882
Ireland,IRL,2015,80
Ireland,IRL,2017,80
Ireland,IRL,2019,80
Ireland,IRL,2021,80
Israel,ISR,2000,72.28749
Israel,ISR,2005,76.40475
Israel,ISR,2010,79.23442
Israel,ISR,2015,80
Israel,ISR,2017,80
Israel,ISR,2019,80
Israel,ISR,2021,80
Italy,ITA,2000,69.75138
Italy,ITA,2005,76.41152
Italy,ITA,2010,80
Italy,ITA,2015,80
Italy,ITA,2017,80
Italy,ITA,2019,80
Italy,ITA,2021,80
Jamaica,JAM,2000,48.01584
Jamaica,JAM,2005,58.72494
Jamaica,JAM,2010,65.5728
Jamaica,JAM,2015,73.72293
Jamaica,JAM,2017,75.02715
Jamaica,JAM,2019,76.5773
Jamaica,JAM,2021,74.14455
Japan,JPN,2000,69.89166
Japan,JPN,2005,75.68333
Japan,JPN,2010,80
Japan,JPN,2015,80
Japan,JPN,2017,80
Japan,JPN,2019,80
Japan,JPN,2021,80
Jordan,JOR,2000,64.66788
Jordan,JOR,2005,68.37472
Jordan,JOR,2010,71.55121
Jordan,JOR,2015,69.99065
Jordan,JOR,2017,69.75475
Jordan,JOR,2019,66.67044
Jordan,JOR,2021,64.90748
Kazakhstan,KAZ,2000,55.60408
Kazakhstan,KAZ,2005,64.39897
Kazakhstan,KAZ,2010,70.3424
Kazakhstan,KAZ,2015,76.91549
Kazakhstan,KAZ,2017,79.35015
Kazakhstan,KAZ,2019,80
Kazakhstan,KAZ,2021,80
Kenya,KEN,2000,27.63106
Kenya,KEN,2005,34.21377
Kenya,KEN,2010,44.18829
Kenya,KEN,2015,50.31533
Kenya,KEN,2017,52.00928
Kenya,KEN,2019,51.4786
Kenya,KEN,2021,53.33536
Kiribati,KIR,2000,27.53077
Kiribati,KIR,2005,32.12599
Kiribati,KIR,2010,41.04535
Kiribati,KIR,2015,44.73986
Kiribati,KIR,2017,46.60987
Kiribati,KIR,2019,48.09853
Kiribati,KIR,2021,47.71428
Kuwait,KWT,2000,74.3456
Kuwait,KWT,2005,76.26211
Kuwait,KWT,2010,74.29644
Kuwait,KWT,2015,77.1966
Kuwait,KWT,2017,77.82291
Kuwait,KWT,2019,77.34271
Kuwait,KWT,2021,77.81492
Kyrgyzstan,KGZ,2000,51.05572
Kyrgyzstan,KGZ,2005,54.5138
Kyrgyzstan,KGZ,2010,59.2849
Kyrgyzstan,KGZ,2015,68.99574
Kyrgyzstan,KGZ,2017,71.12467
Kyrgyzstan,KGZ,2019,71.22364
Kyrgyzstan,KGZ,2021,68.54345
Laos,LAO,2000,24.75208
Laos,LAO,2005,32.86279
Laos,LAO,2010,40.28413
Laos,LAO,2015,47.4452
Laos,LAO,2017,51.21174
Laos,LAO,2019,51.4462
Laos,LAO,2021,51.83316
Latvia,LVA,2000,51.52606
Latvia,LVA,2005,57.78969
Latvia,LVA,2010,65.14338
Latvia,LVA,2015,70.49352
Latvia,LVA,2017,75.48441
Latvia,LVA,2019,75.91148
Latvia,LVA,2021,74.62745
Lebanon,LBN,2000,53.67805
Lebanon,LBN,2005,63.13624
Lebanon,LBN,2010,67.21127
Lebanon,LBN,2015,71.15322
Lebanon,LBN,2017,72.97242
Lebanon,LBN,2019,73.64192
Lebanon,LBN,2021,72.61969
Lesotho,LSO,2000,27.30762
Lesotho,LSO,2005,33.35786
Lesotho,LSO,2010,45.0275
Lesotho,LSO,2015,53.51121
Lesotho,LSO,2017,55.59614
Lesotho,LSO,2019,52.83996
Lesotho,LSO,2021,53.24809
Liberia,LBR,2000,20.39242
Liberia,LBR,2005,22.69758
Liberia,LBR,2010,33.27107
Liberia,LBR,2015,36.86204
Liberia,LBR,2017,40.29439
Liberia,LBR,2019,43.46581
Liberia,LBR,2021,44.70966
Libya,LBY,2000,55.1002
Libya,LBY,2005,59.22919
Libya,LBY,2010,61.90065
Libya,LBY,2015,61.16706
Libya,LBY,2017,65.93816
Libya,LBY,2019,63.97498
Libya,LBY,2021,62.11962
Lithuania,LTU,2000,50.68051
Lithuania,LTU,2005,57.0852
Lithuania,LTU,2010,62.62812
Lithuania,LTU,2015,70.22359
Lithuania,LTU,2017,71.81193
Lithuania,LTU,2019,74.69107
Lithuania,LTU,2021,75.31574
Luxembourg,LUX,2000,73.54443
Luxembourg,LUX,2005,75.48934
Luxembourg,LUX,2010,77.37735
Luxembourg,LUX,2015,80
Luxembourg,LUX,2017,80
Luxembourg,LUX,2019,80
Luxembourg,LUX,2021,80
Madagascar,MDG,2000,16.61189
Madagascar,MDG,2005,20.54533
Madagascar,MDG,2010,25.45398
Madagascar,MDG,2015,28.97821
Madagascar,MDG,2017,30.12792
Madagascar,MDG,2019,32.78153
Madagascar,MDG,2021,34.94375
Malawi,MWI,2000,21.73665
Malawi,MWI,2005,27.72908
Malawi,MWI,2010,37.92305
Malawi,MWI,2015,41.62474
Malawi,MWI,2017,48.16093
Malawi,MWI,2019,48.39656
Malawi,MWI,2021,48.27469
Malaysia,MYS,2000,51.9628
Malaysia,MYS,2005,64.03548
Malaysia,MYS,2010,68.774
Malaysia,MYS,2015,74.82103
Malaysia,MYS,2017,77.41269
Malaysia,MYS,2019,77.73126
Malaysia,MYS,2021,75.99274
Maldives,MDV,2000,40.55208
Maldives,MDV,2005,44.68186
Maldives,MDV,2010,58.08285
Maldives,MDV,2015,64.37015
Maldives,MDV,2017,71.4214
Maldives,MDV,2019,67.51245
Maldives,MDV,2021,61.41676
Mali,MLI,2000,19.54101
Mali,MLI,2005,24.37535
Mali,MLI,2010,35.24286
Mali,MLI,2015,36.28376
Mali,MLI,2017,37.7683
Mali,MLI,2019,40.29723
Mali,MLI,2021,41.28001
Malta,MLT,2000,74.83934
Malta,MLT,2005,76.60404
Malta,MLT,2010,79.12861
Malta,MLT,2015,80
Malta,MLT,2017,80
Malta,MLT,2019,80
Malta,MLT,2021,80
Marshall Islands,MHL,2000,42.01462
Marshall Islands,MHL,2005,45.60303
Marshall Islands,MHL,2010,56.87781
Marshall Islands,MHL,2015,59.51815
Marshall Islands,MHL,2017,61.17616
Marshall Islands,MHL,2019,60.98923
Marshall Islands,MHL,2021,58.94324
Mauritania,MRT,2000,20.68332
Mauritania,MRT,2005,24.63069
Mauritania,MRT,2010,32.02874
Mauritania,MRT,2015,32.63081
Mauritania,MRT,2017,38.997
Mauritania,MRT,2019,36.47025
Mauritania,MRT,2021,40.12226
Mauritius,MUS,2000,49.12861
Mauritius,MUS,2005,53.06477
Mauritius,MUS,2010,58.75645
Mauritius,MUS,2015,66.54743
Mauritius,MUS,2017,67.7713
Mauritius,MUS,2019,67.90111
Mauritius,MUS,2021,65.65095
